Year,Kommune,Species,Group,Taken game,Taken game group
2009,Solrød,Canadagås,Gæs,7,95
2009,Solrød,Grågås,Gæs,38,95
2009,Solrød,Gås,Gæs,48,95
2009,Solrød,Kortnæbbet gås,Gæs,0,95
2009,Solrød,Sædgås,Gæs,0,95
2009,Solrød,Blishøne,Vadefugle,13,20
2009,Solrød,Dobbeltbekkasin,Vadefugle,2,20
2009,Solrød,Skovsneppe,Vadefugle,5,20
2009,Solrød,Dådyr,Hovdyr,1,52
2009,Solrød,Krondyr,Hovdyr,0,52
2009,Solrød,Rådyr,Hovdyr,51,52
2009,Solrød,Sika,Hovdyr,0,52
2009,Solrød,Hare,Støttetandede,23,23
2009,Solrød,Kanin,Støttetandede,0,23
2009,Solrød,Husmår,Rovdyr,0,14
2009,Solrød,Ilder,Rovdyr,1,14
