Sæson;Kommune;Art;Type;Alder;Køn;Maj;Juni;Juli;Oktober;November;December;Januar
2018/2019;"Sorø";Rådyr;Råbuk;2+ år;Han;108;30;10;1;3;1;4
2018/2019;"Sorø";Rådyr;Råbuk;1 år;Han;25;22;2;4;1;4;1
2018/2019;"Sorø";Rådyr;Råbuk;;Han;84;32;12;2;5;5;6
2018/2019;"Sorø";Rådyr;Rå;2+ år;Hun;0;0;0;11;11;28;20
2018/2019;"Sorø";Rådyr;Rå;1 år;Hun;0;0;0;3;2;7;8
2018/2019;"Sorø";Rådyr;Rå;;Hun;0;0;0;9;18;18;21
2018/2019;"Sorø";Rådyr;Lam;Under 1 år;Han;0;0;0;3;5;8;4
2018/2019;"Sorø";Rådyr;Lam;Under 1 år;Hun;0;0;0;6;10;26;9
2018/2019;"Sorø";Rådyr;Lam;Under 1 år;;0;0;0;6;13;12;23
2018/2019;"Sorø";Rådyr;Ikke angivet;;Han;0;1;0;0;0;0;0
2018/2019;"Sorø";Rådyr;Ikke angivet;;Hun;0;0;0;0;1;0;0
