Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2019/2020;"Holbæk";Dådyr;Dåhjort;2+ år;Han;0;5;4;0;6
2019/2020;"Holbæk";Dådyr;Dåhjort;1 år;Han;0;2;0;2;0
2019/2020;"Holbæk";Dådyr;Dåhjort;;Han;0;2;1;1;1
2019/2020;"Holbæk";Dådyr;Då;2+ år;Hun;0;0;1;4;6
2019/2020;"Holbæk";Dådyr;Då;1 år;Hun;0;0;0;1;0
2019/2020;"Holbæk";Dådyr;Då;;Hun;0;2;1;5;5
2019/2020;"Holbæk";Dådyr;Kalv;Under 1 år;Han;0;0;0;1;0
2019/2020;"Holbæk";Dådyr;Kalv;Under 1 år;Hun;0;1;0;0;2
2019/2020;"Holbæk";Dådyr;Kalv;Under 1 år;;0;2;3;5;7
