Sæson;Kommune;Art;Type;Alder;Køn;Juni;Juli;August;September;Oktober;November;December;Januar
2019/2020;"Thisted";Ræv;Han;Over 1 år;Han;0;1;0;2;24;38;16;30
2019/2020;"Thisted";Ræv;Han;;Han;0;0;0;0;0;1;0;0
2019/2020;"Thisted";Ræv;Tæve;Over 1 år;Hun;0;1;0;2;7;16;16;13
2019/2020;"Thisted";Ræv;Hvalp;Under 1 år;Han;1;7;4;0;0;1;1;1
2019/2020;"Thisted";Ræv;Hvalp;Under 1 år;Hun;0;6;0;0;4;0;0;0
2019/2020;"Thisted";Ræv;Hvalp;Under 1 år;;0;10;4;3;2;4;2;0
