Sæson;Kommune;Art;Type;Alder;Køn;Juni;Juli;August;September;Oktober;November;December;Januar
2014/2015;"Lolland";Ræv;Han;Over 1 år;Han;2;0;6;1;7;15;21;34
2014/2015;"Lolland";Ræv;Tæve;Over 1 år;Hun;1;0;1;0;4;10;15;23
2014/2015;"Lolland";Ræv;Hvalp;Under 1 år;Han;0;5;1;2;1;0;1;1
2014/2015;"Lolland";Ræv;Hvalp;Under 1 år;Hun;1;3;3;1;1;0;1;0
2014/2015;"Lolland";Ræv;Hvalp;Under 1 år;;0;7;4;0;0;0;0;0
