Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2016/2017;"Kalundborg";Dådyr;Dåhjort;2+ år;Han;0;1;1;0;0
2016/2017;"Kalundborg";Dådyr;Dåhjort;1 år;Han;0;0;0;1;0
2016/2017;"Kalundborg";Dådyr;Då;2+ år;Hun;0;0;1;2;0
2016/2017;"Kalundborg";Dådyr;Då;1 år;Hun;0;0;1;0;0
2016/2017;"Kalundborg";Dådyr;Då;;Hun;0;0;1;1;0
2016/2017;"Kalundborg";Dådyr;Kalv;Under 1 år;Han;0;0;0;1;0
2016/2017;"Kalundborg";Dådyr;Kalv;Under 1 år;Hun;0;0;1;0;0
2016/2017;"Kalundborg";Dådyr;Kalv;Under 1 år;;0;0;2;1;0
