Sæson;Kommune;Art;Type;Alder;Køn;Maj;Juni;Juli;Oktober;November;December;Januar
2013/2014;"Favrskov";Rådyr;Råbuk;2+ år;Han;86;36;11;8;12;2;5
2013/2014;"Favrskov";Rådyr;Råbuk;1 år;Han;20;8;4;6;9;4;1
2013/2014;"Favrskov";Rådyr;Råbuk;;Han;52;19;10;4;7;2;0
2013/2014;"Favrskov";Rådyr;Rå;2+ år;Hun;1;0;0;15;22;10;15
2013/2014;"Favrskov";Rådyr;Rå;1 år;Hun;0;0;0;8;6;7;5
2013/2014;"Favrskov";Rådyr;Rå;;Hun;0;0;0;8;12;16;12
2013/2014;"Favrskov";Rådyr;Lam;Under 1 år;Han;0;0;0;18;20;16;8
2013/2014;"Favrskov";Rådyr;Lam;Under 1 år;Hun;0;0;0;14;18;13;13
2013/2014;"Favrskov";Rådyr;Lam;Under 1 år;;1;0;0;16;24;14;11
