Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2014/2015;"Kalundborg";Krondyr;Kronhjort;2+ år;Han;0;11;2;0;3
2014/2015;"Kalundborg";Krondyr;Kronhjort;1 år;Han;0;1;0;2;0
2014/2015;"Kalundborg";Krondyr;Kronhjort;;Han;0;1;0;1;0
2014/2015;"Kalundborg";Krondyr;Kronhind;2+ år;Hun;0;1;1;2;4
2014/2015;"Kalundborg";Krondyr;Kronhind;1 år;Hun;0;1;1;0;1
2014/2015;"Kalundborg";Krondyr;Kronhind;;Hun;0;1;2;2;0
2014/2015;"Kalundborg";Krondyr;Kalv;Under 1 år;Han;0;0;1;0;1
2014/2015;"Kalundborg";Krondyr;Kalv;Under 1 år;Hun;0;2;1;0;2
2014/2015;"Kalundborg";Krondyr;Kalv;Under 1 år;;0;0;0;2;1
