Sæson;Kommune;Art;Type;Alder;Køn;Juni;Juli;August;September;Oktober;November;December;Januar
2016/2017;"Herning";Ræv;Han;Over 1 år;Han;1;0;1;15;41;49;39;38
2016/2017;"Herning";Ræv;Han;;Han;0;0;0;0;0;0;1;1
2016/2017;"Herning";Ræv;Tæve;Over 1 år;Hun;1;0;1;2;25;16;17;26
2016/2017;"Herning";Ræv;Hvalp;Under 1 år;Han;4;0;4;1;1;2;2;1
2016/2017;"Herning";Ræv;Hvalp;Under 1 år;Hun;2;1;2;1;0;0;0;1
2016/2017;"Herning";Ræv;Hvalp;Under 1 år;;15;3;1;3;2;3;1;1
