Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2014/2015;"Aabenraa";Mårhund;Han;Over 1 år;Han;0;0;0;0;1
2014/2015;"Aabenraa";Mårhund;Tæve;Over 1 år;Hun;0;0;0;0;1
