Sæson;Kommune;Art;Type;Alder;Køn;Juni;Juli;August;September;Oktober;November;December;Januar
2014/2015;"Morsø";Ræv;Han;Over 1 år;Han;0;0;0;6;8;15;14;8
2014/2015;"Morsø";Ræv;Tæve;Over 1 år;Hun;0;0;0;1;7;6;3;3
2014/2015;"Morsø";Ræv;Tæve;;Hun;0;0;0;0;0;1;0;0
2014/2015;"Morsø";Ræv;Hvalp;Under 1 år;Han;0;1;1;0;0;0;0;0
2014/2015;"Morsø";Ræv;Hvalp;Under 1 år;Hun;0;0;0;0;0;1;0;0
2014/2015;"Morsø";Ræv;Hvalp;Under 1 år;;0;0;0;0;0;2;0;0
