Sæson;Kommune;Art;Type;Alder;Køn;Maj;Juni;Juli;Oktober;November;December;Januar
2019/2020;"Aarhus";Rådyr;Råbuk;2+ år;Han;65;16;12;5;5;4;2
2019/2020;"Aarhus";Rådyr;Råbuk;1 år;Han;13;6;3;1;1;0;1
2019/2020;"Aarhus";Rådyr;Råbuk;;Han;38;19;4;3;2;4;2
2019/2020;"Aarhus";Rådyr;Rå;2+ år;Hun;0;0;0;6;16;13;7
2019/2020;"Aarhus";Rådyr;Rå;1 år;Hun;0;0;0;5;2;6;5
2019/2020;"Aarhus";Rådyr;Rå;;Hun;0;0;0;8;12;13;9
2019/2020;"Aarhus";Rådyr;Lam;Under 1 år;Han;0;0;0;5;10;7;4
2019/2020;"Aarhus";Rådyr;Lam;Under 1 år;Hun;0;0;0;9;4;5;9
2019/2020;"Aarhus";Rådyr;Lam;Under 1 år;;0;0;0;6;9;5;4
