Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2022/2023;"Skanderborg";Vildsvin;Orne;Over 1 år;Han;0;2;0;0;0
2022/2023;"Skanderborg";Vildsvin;Gris;Under 1 år;Han;0;1;0;0;0
2022/2023;"Skanderborg";Vildsvin;Gris;Under 1 år;;0;1;0;0;0
