Sæson;Kommune;Art;Type;Alder;Køn;Juni;Juli;August;September;Oktober;November;December;Januar
2012/2013;"Horsens";Ræv;Han;Over 1 år;Han;0;1;0;10;17;14;7;14
2012/2013;"Horsens";Ræv;Tæve;Over 1 år;Hun;0;0;0;0;5;5;8;7
2012/2013;"Horsens";Ræv;Hvalp;Under 1 år;Han;2;0;0;1;2;1;0;0
2012/2013;"Horsens";Ræv;Hvalp;Under 1 år;Hun;1;0;1;0;2;1;0;0
2012/2013;"Horsens";Ræv;Hvalp;Under 1 år;;0;6;1;0;0;0;0;0
