Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2022/2023;"Vesthimmerland";Dådyr;Dåhjort;2+ år;Han;3;1;0;5;0
2022/2023;"Vesthimmerland";Dådyr;Dåhjort;1 år;Han;0;6;3;7;1
2022/2023;"Vesthimmerland";Dådyr;Dåhjort;;Han;3;1;1;1;1
2022/2023;"Vesthimmerland";Dådyr;Då;2+ år;Hun;0;4;1;5;3
2022/2023;"Vesthimmerland";Dådyr;Då;1 år;Hun;0;0;2;1;1
2022/2023;"Vesthimmerland";Dådyr;Då;;Hun;0;3;2;10;4
2022/2023;"Vesthimmerland";Dådyr;Kalv;Under 1 år;Han;1;3;6;3;6
2022/2023;"Vesthimmerland";Dådyr;Kalv;Under 1 år;Hun;0;2;4;5;3
