Sæson;Kommune;Art;Type;Alder;Køn;Maj;Juni;Juli;Oktober;November;December;Januar
2013/2014;"Jammerbugt";Rådyr;Råbuk;2+ år;Han;89;43;9;16;5;3;8
2013/2014;"Jammerbugt";Rådyr;Råbuk;1 år;Han;27;19;3;6;4;5;5
2013/2014;"Jammerbugt";Rådyr;Råbuk;;Han;40;15;5;7;4;1;2
2013/2014;"Jammerbugt";Rådyr;Rå;2+ år;Hun;0;0;0;22;23;22;7
2013/2014;"Jammerbugt";Rådyr;Rå;1 år;Hun;0;0;0;3;8;5;4
2013/2014;"Jammerbugt";Rådyr;Rå;;Hun;0;0;0;13;12;16;14
2013/2014;"Jammerbugt";Rådyr;Lam;Under 1 år;Han;1;0;0;19;19;14;4
2013/2014;"Jammerbugt";Rådyr;Lam;Under 1 år;Hun;0;0;0;31;23;11;8
2013/2014;"Jammerbugt";Rådyr;Lam;Under 1 år;;1;0;0;17;18;10;11
