Sæson;Kommune;Art;Type;Alder;Køn;Maj;Juni;Juli;Oktober;November;December;Januar
2016/2017;"Haderslev";Rådyr;Råbuk;2+ år;Han;129;70;24;10;5;11;5
2016/2017;"Haderslev";Rådyr;Råbuk;1 år;Han;21;8;3;2;9;5;2
2016/2017;"Haderslev";Rådyr;Råbuk;;Han;62;37;5;9;7;10;1
2016/2017;"Haderslev";Rådyr;Rå;2+ år;Hun;0;0;0;19;44;30;13
2016/2017;"Haderslev";Rådyr;Rå;1 år;Hun;0;0;0;4;8;8;4
2016/2017;"Haderslev";Rådyr;Rå;;Hun;0;0;0;17;37;24;12
2016/2017;"Haderslev";Rådyr;Lam;Under 1 år;Han;0;0;0;10;24;12;4
2016/2017;"Haderslev";Rådyr;Lam;Under 1 år;Hun;0;1;0;17;22;11;4
2016/2017;"Haderslev";Rådyr;Lam;Under 1 år;;2;0;0;16;21;17;9
