Sæson;Kommune;Art;Type;Alder;Køn;Maj;Juni;Juli;Oktober;November;December;Januar
2018/2019;"Syddjurs";Rådyr;Råbuk;2+ år;Han;128;58;32;17;14;9;3
2018/2019;"Syddjurs";Rådyr;Råbuk;1 år;Han;26;10;5;3;3;3;5
2018/2019;"Syddjurs";Rådyr;Råbuk;;Han;81;35;16;7;12;3;3
2018/2019;"Syddjurs";Rådyr;Rå;2+ år;Hun;0;0;0;23;28;22;13
2018/2019;"Syddjurs";Rådyr;Rå;1 år;Hun;0;0;0;15;9;3;10
2018/2019;"Syddjurs";Rådyr;Rå;;Hun;0;0;0;31;33;13;20
2018/2019;"Syddjurs";Rådyr;Lam;Under 1 år;Han;1;0;0;15;13;13;15
2018/2019;"Syddjurs";Rådyr;Lam;Under 1 år;Hun;0;0;0;23;14;15;10
2018/2019;"Syddjurs";Rådyr;Lam;Under 1 år;;0;0;0;15;22;12;5
2018/2019;"Syddjurs";Rådyr;Ikke angivet;;Han;3;1;0;0;0;0;0
