Sæson;Kommune;Art;Type;Alder;Køn;Maj;Juni;Juli;Oktober;November;December;Januar
2022/2023;"Langeland";Rådyr;Råbuk;2+ år;Han;72;18;9;2;0;1;2
2022/2023;"Langeland";Rådyr;Råbuk;1 år;Han;8;3;2;0;0;1;0
2022/2023;"Langeland";Rådyr;Råbuk;;Han;67;22;5;1;2;1;3
2022/2023;"Langeland";Rådyr;Rå;2+ år;Hun;0;0;0;7;5;17;11
2022/2023;"Langeland";Rådyr;Rå;1 år;Hun;0;0;0;0;3;1;3
2022/2023;"Langeland";Rådyr;Rå;;Hun;0;0;0;7;12;15;17
2022/2023;"Langeland";Rådyr;Lam;Under 1 år;Han;0;0;0;3;2;4;5
2022/2023;"Langeland";Rådyr;Lam;Under 1 år;Hun;0;0;0;6;14;16;9
2022/2023;"Langeland";Rådyr;Lam;Under 1 år;;0;0;0;2;3;8;2
