Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2021/2022;"Odense";Dådyr;Dåhjort;2+ år;Han;0;6;0;3;0
2021/2022;"Odense";Dådyr;Dåhjort;1 år;Han;0;0;1;2;1
2021/2022;"Odense";Dådyr;Dåhjort;;Han;0;2;0;0;1
2021/2022;"Odense";Dådyr;Då;2+ år;Hun;0;0;2;1;1
2021/2022;"Odense";Dådyr;Då;1 år;Hun;0;0;0;1;0
2021/2022;"Odense";Dådyr;Då;;Hun;0;1;0;1;4
2021/2022;"Odense";Dådyr;Kalv;Under 1 år;Han;0;1;1;3;2
2021/2022;"Odense";Dådyr;Kalv;Under 1 år;Hun;0;0;0;2;1
2021/2022;"Odense";Dådyr;Kalv;Under 1 år;;0;1;0;0;1
