Sæson;Kommune;Art;Type;Alder;Køn;Maj;Juni;Juli;Oktober;November;December;Januar
2020/2021;"Vordingborg";Rådyr;Råbuk;2+ år;Han;171;56;16;8;5;4;5
2020/2021;"Vordingborg";Rådyr;Råbuk;1 år;Han;25;11;6;0;1;1;3
2020/2021;"Vordingborg";Rådyr;Råbuk;;Han;155;51;23;10;7;9;5
2020/2021;"Vordingborg";Rådyr;Rå;2+ år;Hun;0;0;0;11;19;35;61
2020/2021;"Vordingborg";Rådyr;Rå;1 år;Hun;0;0;0;7;7;9;14
2020/2021;"Vordingborg";Rådyr;Rå;;Hun;1;0;0;17;28;35;72
2020/2021;"Vordingborg";Rådyr;Lam;Under 1 år;Han;0;0;0;12;7;14;18
2020/2021;"Vordingborg";Rådyr;Lam;Under 1 år;Hun;0;1;0;15;13;20;28
2020/2021;"Vordingborg";Rådyr;Lam;Under 1 år;;0;0;0;16;19;28;33
