Sæson;Kommune;Art;Type;Alder;Køn;Maj;Juni;Juli;Oktober;November;December;Januar
2019/2020;"Herning";Rådyr;Råbuk;2+ år;Han;198;48;18;19;9;8;6
2019/2020;"Herning";Rådyr;Råbuk;1 år;Han;53;24;12;15;8;5;3
2019/2020;"Herning";Rådyr;Råbuk;;Han;124;44;21;18;12;7;8
2019/2020;"Herning";Rådyr;Rå;2+ år;Hun;0;0;0;30;31;37;16
2019/2020;"Herning";Rådyr;Rå;1 år;Hun;0;0;0;21;10;9;9
2019/2020;"Herning";Rådyr;Rå;;Hun;0;0;0;35;39;27;19
2019/2020;"Herning";Rådyr;Lam;Under 1 år;Han;0;1;0;15;21;20;11
2019/2020;"Herning";Rådyr;Lam;Under 1 år;Hun;0;0;0;23;33;25;15
2019/2020;"Herning";Rådyr;Lam;Under 1 år;;1;2;0;29;30;21;11
