Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2013/2014;"Billund";Krondyr;Kronhjort;2+ år;Han;15;6;2;1;7
2013/2014;"Billund";Krondyr;Kronhjort;1 år;Han;3;4;1;2;3
2013/2014;"Billund";Krondyr;Kronhjort;;Han;3;7;2;0;2
2013/2014;"Billund";Krondyr;Kronhind;2+ år;Hun;0;3;8;4;7
2013/2014;"Billund";Krondyr;Kronhind;1 år;Hun;0;1;1;2;1
2013/2014;"Billund";Krondyr;Kronhind;;Hun;0;2;4;5;7
2013/2014;"Billund";Krondyr;Kalv;Under 1 år;Han;0;2;4;4;9
2013/2014;"Billund";Krondyr;Kalv;Under 1 år;Hun;1;3;2;7;12
2013/2014;"Billund";Krondyr;Kalv;Under 1 år;;0;5;3;6;8
