Sæson;Kommune;Art;Type;Alder;Køn;Juni;Juli;August;September;Oktober;November;December;Januar
2017/2018;"Guldborgsund";Ræv;Han;Over 1 år;Han;0;0;0;2;8;14;17;23
2017/2018;"Guldborgsund";Ræv;Tæve;Over 1 år;Hun;0;0;0;2;6;6;12;11
2017/2018;"Guldborgsund";Ræv;Hvalp;Under 1 år;Han;3;2;2;1;1;1;0;0
2017/2018;"Guldborgsund";Ræv;Hvalp;Under 1 år;Hun;0;2;3;1;0;1;0;0
2017/2018;"Guldborgsund";Ræv;Hvalp;Under 1 år;;6;7;1;3;3;0;0;0
