Sæson;Kommune;Art;Type;Alder;Køn;Maj;Juni;Juli;Oktober;November;December;Januar
2018/2019;"Hedensted";Rådyr;Råbuk;2+ år;Han;94;30;24;7;8;4;5
2018/2019;"Hedensted";Rådyr;Råbuk;1 år;Han;16;5;3;2;4;1;1
2018/2019;"Hedensted";Rådyr;Råbuk;;Han;54;22;6;3;2;3;2
2018/2019;"Hedensted";Rådyr;Rå;2+ år;Hun;0;0;0;12;19;13;10
2018/2019;"Hedensted";Rådyr;Rå;1 år;Hun;0;0;0;2;3;4;3
2018/2019;"Hedensted";Rådyr;Rå;;Hun;0;0;0;10;15;17;4
2018/2019;"Hedensted";Rådyr;Lam;Under 1 år;Han;0;0;1;6;15;4;9
2018/2019;"Hedensted";Rådyr;Lam;Under 1 år;Hun;0;1;0;7;14;8;6
2018/2019;"Hedensted";Rådyr;Lam;Under 1 år;;0;0;0;6;12;16;11
