Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2014/2015;"Svendborg";Dådyr;Dåhjort;2+ år;Han;4;6;3;5;7
2014/2015;"Svendborg";Dådyr;Dåhjort;1 år;Han;1;0;2;3;0
2014/2015;"Svendborg";Dådyr;Dåhjort;;Han;1;1;3;0;2
2014/2015;"Svendborg";Dådyr;Då;2+ år;Hun;0;1;4;4;7
2014/2015;"Svendborg";Dådyr;Då;1 år;Hun;0;1;0;0;0
2014/2015;"Svendborg";Dådyr;Då;;Hun;0;0;0;3;2
2014/2015;"Svendborg";Dådyr;Kalv;Under 1 år;Han;1;0;1;6;2
2014/2015;"Svendborg";Dådyr;Kalv;Under 1 år;Hun;0;1;0;7;3
2014/2015;"Svendborg";Dådyr;Kalv;Under 1 år;;0;0;4;0;5
