Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2020/2021;"Struer";Mårhund;Han;Over 1 år;Han;1;1;0;0;0
2020/2021;"Struer";Mårhund;Tæve;Over 1 år;Hun;1;1;0;1;2
