Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2015/2016;"Viborg";Dådyr;Dåhjort;2+ år;Han;4;5;1;3;2
2015/2016;"Viborg";Dådyr;Dåhjort;1 år;Han;3;2;3;2;1
2015/2016;"Viborg";Dådyr;Dåhjort;;Han;3;0;0;0;1
2015/2016;"Viborg";Dådyr;Då;2+ år;Hun;1;2;2;1;0
2015/2016;"Viborg";Dådyr;Då;1 år;Hun;0;0;1;1;0
2015/2016;"Viborg";Dådyr;Då;;Hun;0;2;4;2;1
2015/2016;"Viborg";Dådyr;Kalv;Under 1 år;Han;0;2;2;2;4
2015/2016;"Viborg";Dådyr;Kalv;Under 1 år;Hun;0;1;3;5;0
2015/2016;"Viborg";Dådyr;Kalv;Under 1 år;;0;0;0;2;1
