Sæson;Kommune;Art;Type;Alder;Køn;Juni;Juli;August;September;Oktober;November;December;Januar
2018/2019;"Odsherred";Ræv;Han;Over 1 år;Han;4;0;0;0;8;7;4;7
2018/2019;"Odsherred";Ræv;Tæve;Over 1 år;Hun;0;0;0;0;1;2;2;2
2018/2019;"Odsherred";Ræv;Hvalp;Under 1 år;Han;1;1;1;0;0;0;0;0
2018/2019;"Odsherred";Ræv;Hvalp;Under 1 år;Hun;2;0;0;0;0;0;0;0
2018/2019;"Odsherred";Ræv;Hvalp;Under 1 år;;0;5;1;0;0;0;0;1
