Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2018/2019;"Hedensted";Krondyr;Kronhjort;2+ år;Han;0;5;0;0;0
2018/2019;"Hedensted";Krondyr;Kronhind;2+ år;Hun;0;2;1;1;0
2018/2019;"Hedensted";Krondyr;Kronhind;1 år;Hun;0;6;0;0;0
2018/2019;"Hedensted";Krondyr;Kalv;Under 1 år;Hun;0;2;0;0;0
2018/2019;"Hedensted";Krondyr;Ikke angivet;;Hun;0;0;1;3;2
