Sæson;Kommune;Art;Type;Alder;Køn;Juni;Juli;August;September;Oktober;November;December;Januar
2021/2022;"Aabenraa";Ræv;Han;Over 1 år;Han;0;0;0;1;3;6;7;9
2021/2022;"Aabenraa";Ræv;Han;;Han;0;0;1;0;3;7;2;5
2021/2022;"Aabenraa";Ræv;Tæve;Over 1 år;Hun;0;0;0;0;2;5;2;2
2021/2022;"Aabenraa";Ræv;Tæve;;Hun;0;0;0;0;3;3;7;2
2021/2022;"Aabenraa";Ræv;Hvalp;Under 1 år;Han;0;6;1;2;1;0;0;0
2021/2022;"Aabenraa";Ræv;Hvalp;Under 1 år;Hun;0;2;2;0;1;0;1;0
2021/2022;"Aabenraa";Ræv;Hvalp;Under 1 år;;0;2;16;2;1;0;0;0
