Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2017/2018;"Esbjerg";Krondyr;Kronhjort;2+ år;Han;7;0;0;0;1
2017/2018;"Esbjerg";Krondyr;Kronhjort;1 år;Han;0;1;0;2;3
2017/2018;"Esbjerg";Krondyr;Kronhind;2+ år;Hun;0;1;2;5;1
2017/2018;"Esbjerg";Krondyr;Kronhind;1 år;Hun;0;0;0;2;0
2017/2018;"Esbjerg";Krondyr;Kalv;Under 1 år;Han;0;0;2;1;3
2017/2018;"Esbjerg";Krondyr;Kalv;Under 1 år;Hun;2;0;7;3;1
2017/2018;"Esbjerg";Krondyr;Ikke angivet;;Han;3;0;0;2;2
2017/2018;"Esbjerg";Krondyr;Ikke angivet;;Hun;0;0;5;1;3
