Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2019/2020;"Haderslev";Krondyr;Kronhjort;2+ år;Han;3;2;1;0;0
2019/2020;"Haderslev";Krondyr;Kronhjort;1 år;Han;2;1;1;1;2
2019/2020;"Haderslev";Krondyr;Kronhind;2+ år;Hun;0;3;0;2;2
2019/2020;"Haderslev";Krondyr;Kronhind;1 år;Hun;1;1;4;1;1
2019/2020;"Haderslev";Krondyr;Kalv;Under 1 år;Han;2;1;0;2;5
2019/2020;"Haderslev";Krondyr;Kalv;Under 1 år;Hun;1;1;3;3;3
2019/2020;"Haderslev";Krondyr;Ikke angivet;;Han;2;1;1;2;1
2019/2020;"Haderslev";Krondyr;Ikke angivet;;Hun;1;2;2;3;5
