Sæson;Kommune;Art;Type;Alder;Køn;Maj;Juni;Juli;Oktober;November;December;Januar
2014/2015;"Skanderborg";Rådyr;Råbuk;2+ år;Han;66;26;8;7;5;9;3
2014/2015;"Skanderborg";Rådyr;Råbuk;1 år;Han;19;13;4;4;5;3;7
2014/2015;"Skanderborg";Rådyr;Råbuk;;Han;53;25;8;3;6;4;5
2014/2015;"Skanderborg";Rådyr;Rå;2+ år;Hun;0;1;0;15;27;28;21
2014/2015;"Skanderborg";Rådyr;Rå;1 år;Hun;0;0;0;8;2;4;6
2014/2015;"Skanderborg";Rådyr;Rå;;Hun;0;0;0;25;23;19;18
2014/2015;"Skanderborg";Rådyr;Lam;Under 1 år;Han;0;1;0;11;13;8;9
2014/2015;"Skanderborg";Rådyr;Lam;Under 1 år;Hun;0;0;0;19;22;8;12
2014/2015;"Skanderborg";Rådyr;Lam;Under 1 år;;0;0;0;21;15;21;8
