Sæson;Kommune;Art;Type;Alder;Køn;Maj;Juni;Juli;Oktober;November;December;Januar
2021/2022;"Aarhus";Rådyr;Råbuk;2+ år;Han;42;12;5;1;1;3;0
2021/2022;"Aarhus";Rådyr;Råbuk;1 år;Han;8;3;2;1;1;2;1
2021/2022;"Aarhus";Rådyr;Råbuk;;Han;39;19;3;4;3;2;2
2021/2022;"Aarhus";Rådyr;Rå;2+ år;Hun;0;0;0;0;5;10;8
2021/2022;"Aarhus";Rådyr;Rå;1 år;Hun;0;0;0;0;2;1;5
2021/2022;"Aarhus";Rådyr;Rå;;Hun;0;0;0;6;10;8;11
2021/2022;"Aarhus";Rådyr;Lam;Under 1 år;Han;0;0;0;4;3;1;4
2021/2022;"Aarhus";Rådyr;Lam;Under 1 år;Hun;0;0;0;3;3;4;10
2021/2022;"Aarhus";Rådyr;Lam;Under 1 år;;0;0;0;3;0;2;2
