Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2018/2019;"Vejen";Vildsvin;Orne;Over 1 år;Han;2;0;0;0;0
2018/2019;"Vejen";Vildsvin;Gris;Under 1 år;Hun;0;0;0;2;0
