Sæson;Kommune;Art;Type;Alder;Køn;Maj;Juni;Juli;Oktober;November;December;Januar
2014/2015;"Næstved";Rådyr;Råbuk;2+ år;Han;215;80;25;15;6;10;3
2014/2015;"Næstved";Rådyr;Råbuk;1 år;Han;48;26;7;4;4;2;9
2014/2015;"Næstved";Rådyr;Råbuk;;Han;120;49;14;6;5;6;5
2014/2015;"Næstved";Rådyr;Rå;2+ år;Hun;0;0;1;23;44;34;46
2014/2015;"Næstved";Rådyr;Rå;1 år;Hun;0;0;0;9;8;12;14
2014/2015;"Næstved";Rådyr;Rå;;Hun;0;0;0;24;28;34;38
2014/2015;"Næstved";Rådyr;Lam;Under 1 år;Han;0;0;0;14;16;20;16
2014/2015;"Næstved";Rådyr;Lam;Under 1 år;Hun;0;0;0;18;26;41;35
2014/2015;"Næstved";Rådyr;Lam;Under 1 år;;0;0;0;16;22;30;28
