Sæson;Kommune;Art;Type;Alder;Køn;Juni;Juli;August;September;Oktober;November;December;Januar
2021/2022;"Kolding";Ræv;Han;Over 1 år;Han;0;0;0;0;6;3;5;4
2021/2022;"Kolding";Ræv;Han;;Han;0;0;0;3;1;4;4;4
2021/2022;"Kolding";Ræv;Tæve;Over 1 år;Hun;0;0;0;0;0;1;2;1
2021/2022;"Kolding";Ræv;Tæve;;Hun;0;0;0;1;0;1;1;3
2021/2022;"Kolding";Ræv;Hvalp;Under 1 år;Han;0;2;0;1;0;0;0;0
2021/2022;"Kolding";Ræv;Hvalp;Under 1 år;Hun;0;1;1;2;0;0;0;0
2021/2022;"Kolding";Ræv;Hvalp;Under 1 år;;2;1;1;0;0;0;0;0
