Sæson;Kommune;Art;Type;Alder;Køn;Juni;Juli;August;September;Oktober;November;December;Januar
2020/2021;"Tønder";Ræv;Han;Over 1 år;Han;1;0;0;8;16;28;26;41
2020/2021;"Tønder";Ræv;Tæve;Over 1 år;Hun;0;0;0;4;12;20;23;31
2020/2021;"Tønder";Ræv;Hvalp;Under 1 år;Han;1;6;2;0;2;0;0;0
2020/2021;"Tønder";Ræv;Hvalp;Under 1 år;Hun;0;4;1;1;1;1;1;1
2020/2021;"Tønder";Ræv;Hvalp;Under 1 år;;1;7;3;5;2;3;0;3
