Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2009/2010;"Hedensted";Dådyr;Dåhjort;2+ år;Han;0;0;0;0;1
2009/2010;"Hedensted";Dådyr;Dåhjort;1 år;Han;0;0;0;0;2
2009/2010;"Hedensted";Dådyr;Då;2+ år;Hun;0;0;0;1;0
2009/2010;"Hedensted";Dådyr;Kalv;Under 1 år;Han;0;0;0;0;1
2009/2010;"Hedensted";Dådyr;Kalv;Under 1 år;Hun;0;0;0;0;3
