Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2014/2015;"Roskilde";Krondyr;Kronhjort;;Han;0;0;0;0;1
2014/2015;"Roskilde";Krondyr;Kronhind;2+ år;Hun;0;0;1;0;0
2014/2015;"Roskilde";Krondyr;Kronhind;;Hun;0;0;0;0;1
2014/2015;"Roskilde";Krondyr;Kalv;Under 1 år;Han;1;0;0;0;0
