Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2017/2018;"Herning";Krondyr;Kronhjort;2+ år;Han;45;17;10;7;0
2017/2018;"Herning";Krondyr;Kronhjort;1 år;Han;22;10;12;7;8
2017/2018;"Herning";Krondyr;Kronhind;2+ år;Hun;1;13;14;31;25
2017/2018;"Herning";Krondyr;Kronhind;1 år;Hun;0;5;10;13;5
2017/2018;"Herning";Krondyr;Kalv;Under 1 år;Han;6;13;12;11;10
2017/2018;"Herning";Krondyr;Kalv;Under 1 år;Hun;16;11;28;13;8
2017/2018;"Herning";Krondyr;Ikke angivet;;Han;21;9;22;3;5
2017/2018;"Herning";Krondyr;Ikke angivet;;Hun;3;23;54;29;34
