Sæson;Kommune;Art;Type;Alder;Køn;Juni;Juli;August;September;Oktober;November;December;Januar
2019/2020;"Aarhus";Ræv;Han;Over 1 år;Han;0;0;0;5;14;11;12;14
2019/2020;"Aarhus";Ræv;Han;;Han;0;0;0;0;0;0;0;1
2019/2020;"Aarhus";Ræv;Tæve;Over 1 år;Hun;0;0;0;1;7;4;8;4
2019/2020;"Aarhus";Ræv;Hvalp;Under 1 år;Han;0;0;2;0;0;0;0;0
2019/2020;"Aarhus";Ræv;Hvalp;Under 1 år;Hun;0;1;2;1;0;0;0;1
2019/2020;"Aarhus";Ræv;Hvalp;Under 1 år;;0;8;8;2;3;1;0;1
