Sæson;Kommune;Art;Type;Alder;Køn;Juni;Juli;August;September;Oktober;November;December;Januar
2021/2022;"Viborg";Ræv;Han;Over 1 år;Han;0;0;0;7;14;12;18;15
2021/2022;"Viborg";Ræv;Han;;Han;0;0;0;2;5;15;7;11
2021/2022;"Viborg";Ræv;Tæve;Over 1 år;Hun;0;0;0;2;8;6;5;11
2021/2022;"Viborg";Ræv;Tæve;;Hun;0;0;0;0;0;1;9;4
2021/2022;"Viborg";Ræv;Hvalp;Under 1 år;Han;0;11;11;2;3;3;0;0
2021/2022;"Viborg";Ræv;Hvalp;Under 1 år;Hun;0;6;10;0;0;0;1;1
2021/2022;"Viborg";Ræv;Hvalp;Under 1 år;;0;2;0;4;0;3;0;1
