Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2019/2020;"Vesthimmerland";Krondyr;Kronhjort;2+ år;Han;0;1;1;9;0
2019/2020;"Vesthimmerland";Krondyr;Kronhjort;1 år;Han;0;0;0;3;1
2019/2020;"Vesthimmerland";Krondyr;Kronhind;2+ år;Hun;0;0;0;0;3
2019/2020;"Vesthimmerland";Krondyr;Kronhind;1 år;Hun;0;1;0;1;0
2019/2020;"Vesthimmerland";Krondyr;Kalv;Under 1 år;Han;0;1;0;0;1
2019/2020;"Vesthimmerland";Krondyr;Kalv;Under 1 år;Hun;0;0;1;2;1
2019/2020;"Vesthimmerland";Krondyr;Ikke angivet;;Han;0;0;0;2;0
2019/2020;"Vesthimmerland";Krondyr;Ikke angivet;;Hun;0;0;0;1;0
