Sæson;Kommune;Art;Type;Alder;Køn;Maj;Juni;Juli;Oktober;November;December;Januar
2017/2018;"Sønderborg";Rådyr;Råbuk;2+ år;Han;69;20;7;3;3;4;0
2017/2018;"Sønderborg";Rådyr;Råbuk;1 år;Han;8;0;2;1;2;0;3
2017/2018;"Sønderborg";Rådyr;Råbuk;;Han;41;6;7;4;9;2;2
2017/2018;"Sønderborg";Rådyr;Rå;2+ år;Hun;0;0;0;4;28;14;1
2017/2018;"Sønderborg";Rådyr;Rå;1 år;Hun;0;0;0;2;3;2;3
2017/2018;"Sønderborg";Rådyr;Rå;;Hun;0;0;0;5;20;17;1
2017/2018;"Sønderborg";Rådyr;Lam;Under 1 år;Han;0;0;0;5;15;8;1
2017/2018;"Sønderborg";Rådyr;Lam;Under 1 år;Hun;0;0;0;0;23;12;2
2017/2018;"Sønderborg";Rådyr;Lam;Under 1 år;;0;0;0;3;16;17;2
