Sæson;Kommune;Art;Type;Alder;Køn;Maj;Juni;Juli;Oktober;November;December;Januar
2015/2016;"Nyborg";Rådyr;Råbuk;2+ år;Han;52;17;4;0;2;0;1
2015/2016;"Nyborg";Rådyr;Råbuk;1 år;Han;11;3;1;0;0;0;0
2015/2016;"Nyborg";Rådyr;Råbuk;;Han;23;7;1;2;0;3;3
2015/2016;"Nyborg";Rådyr;Rå;2+ år;Hun;0;0;0;1;1;5;8
2015/2016;"Nyborg";Rådyr;Rå;1 år;Hun;0;0;0;3;1;1;4
2015/2016;"Nyborg";Rådyr;Rå;;Hun;0;0;0;2;1;3;3
2015/2016;"Nyborg";Rådyr;Lam;Under 1 år;Han;0;0;0;1;0;1;2
2015/2016;"Nyborg";Rådyr;Lam;Under 1 år;Hun;0;1;0;2;0;3;3
2015/2016;"Nyborg";Rådyr;Lam;Under 1 år;;0;0;0;3;1;1;6
