Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2016/2017;"Vejle";Krondyr;Kronhjort;2+ år;Han;16;10;1;5;3
2016/2017;"Vejle";Krondyr;Kronhjort;1 år;Han;6;2;7;2;0
2016/2017;"Vejle";Krondyr;Kronhjort;;Han;6;2;2;3;3
2016/2017;"Vejle";Krondyr;Kronhind;2+ år;Hun;0;3;5;3;11
2016/2017;"Vejle";Krondyr;Kronhind;1 år;Hun;0;1;6;3;3
2016/2017;"Vejle";Krondyr;Kronhind;;Hun;0;6;3;7;7
2016/2017;"Vejle";Krondyr;Kalv;Under 1 år;Han;2;0;3;1;2
2016/2017;"Vejle";Krondyr;Kalv;Under 1 år;Hun;1;1;1;3;3
2016/2017;"Vejle";Krondyr;Kalv;Under 1 år;;3;6;4;7;7
