Sæson;Kommune;Art;Type;Alder;Køn;Maj;Juni;Juli;Oktober;November;December;Januar
2018/2019;"Guldborgsund";Rådyr;Råbuk;2+ år;Han;142;52;23;6;2;2;7
2018/2019;"Guldborgsund";Rådyr;Råbuk;1 år;Han;13;11;8;3;4;1;3
2018/2019;"Guldborgsund";Rådyr;Råbuk;;Han;74;32;20;7;3;2;6
2018/2019;"Guldborgsund";Rådyr;Rå;2+ år;Hun;0;0;0;18;19;19;33
2018/2019;"Guldborgsund";Rådyr;Rå;1 år;Hun;0;0;0;6;6;6;11
2018/2019;"Guldborgsund";Rådyr;Rå;;Hun;0;0;0;14;16;22;36
2018/2019;"Guldborgsund";Rådyr;Lam;Under 1 år;Han;0;0;0;6;10;8;5
2018/2019;"Guldborgsund";Rådyr;Lam;Under 1 år;Hun;0;0;0;11;19;16;21
2018/2019;"Guldborgsund";Rådyr;Lam;Under 1 år;;1;0;0;7;9;12;21
