Sæson;Kommune;Art;Type;Alder;Køn;Juni;Juli;August;September;Oktober;November;December;Januar
2012/2013;"Varde";Ræv;Han;Over 1 år;Han;0;0;0;8;8;22;15;23
2012/2013;"Varde";Ræv;Han;;Han;0;0;0;0;0;1;0;0
2012/2013;"Varde";Ræv;Tæve;Over 1 år;Hun;0;0;0;3;14;4;16;13
2012/2013;"Varde";Ræv;Tæve;;Hun;0;0;0;0;0;0;0;1
2012/2013;"Varde";Ræv;Hvalp;Under 1 år;Han;0;4;0;1;1;1;1;1
2012/2013;"Varde";Ræv;Hvalp;Under 1 år;Hun;0;2;0;2;1;1;1;1
2012/2013;"Varde";Ræv;Hvalp;Under 1 år;;0;0;0;0;1;0;2;0
