Sæson;Kommune;Art;Type;Alder;Køn;Maj;Juni;Juli;Oktober;November;December;Januar
2014/2015;"Odder";Rådyr;Råbuk;2+ år;Han;50;21;8;1;10;4;0
2014/2015;"Odder";Rådyr;Råbuk;1 år;Han;10;9;4;3;5;0;0
2014/2015;"Odder";Rådyr;Råbuk;;Han;12;5;4;1;6;0;0
2014/2015;"Odder";Rådyr;Rå;2+ år;Hun;0;0;1;5;11;13;12
2014/2015;"Odder";Rådyr;Rå;1 år;Hun;0;0;0;3;4;2;1
2014/2015;"Odder";Rådyr;Rå;;Hun;0;0;0;5;14;10;8
2014/2015;"Odder";Rådyr;Lam;Under 1 år;Han;0;0;0;3;3;3;4
2014/2015;"Odder";Rådyr;Lam;Under 1 år;Hun;0;0;0;3;10;6;15
2014/2015;"Odder";Rådyr;Lam;Under 1 år;;0;0;0;5;13;5;5
