Sæson;Kommune;Art;Type;Alder;Køn;Maj;Juni;Juli;Oktober;November;December;Januar
2017/2018;"Gribskov";Rådyr;Råbuk;2+ år;Han;53;11;7;1;2;3;1
2017/2018;"Gribskov";Rådyr;Råbuk;1 år;Han;19;3;1;1;0;3;1
2017/2018;"Gribskov";Rådyr;Råbuk;;Han;56;22;11;2;1;7;1
2017/2018;"Gribskov";Rådyr;Rå;2+ år;Hun;0;0;0;11;12;9;21
2017/2018;"Gribskov";Rådyr;Rå;1 år;Hun;0;0;0;3;5;4;4
2017/2018;"Gribskov";Rådyr;Rå;;Hun;0;1;0;1;14;8;8
2017/2018;"Gribskov";Rådyr;Lam;Under 1 år;Han;0;0;0;2;5;5;6
2017/2018;"Gribskov";Rådyr;Lam;Under 1 år;Hun;0;0;0;7;6;5;11
2017/2018;"Gribskov";Rådyr;Lam;Under 1 år;;0;0;0;2;9;12;6
