Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2019/2020;"Varde";Dådyr;Dåhjort;2+ år;Han;0;0;1;5;0
2019/2020;"Varde";Dådyr;Dåhjort;1 år;Han;0;1;1;4;2
2019/2020;"Varde";Dådyr;Dåhjort;;Han;0;0;1;8;0
2019/2020;"Varde";Dådyr;Då;2+ år;Hun;0;0;1;4;1
2019/2020;"Varde";Dådyr;Då;1 år;Hun;0;0;0;1;0
2019/2020;"Varde";Dådyr;Då;;Hun;0;1;0;4;0
2019/2020;"Varde";Dådyr;Kalv;Under 1 år;Han;0;2;0;1;3
2019/2020;"Varde";Dådyr;Kalv;Under 1 år;Hun;0;1;1;2;5
2019/2020;"Varde";Dådyr;Kalv;Under 1 år;;0;2;2;4;2
