Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2014/2015;"Ringkøbing-Skjern";Krondyr;Kronhjort;2+ år;Han;52;26;16;23;10
2014/2015;"Ringkøbing-Skjern";Krondyr;Kronhjort;1 år;Han;33;13;11;13;12
2014/2015;"Ringkøbing-Skjern";Krondyr;Kronhjort;;Han;5;9;12;4;1
2014/2015;"Ringkøbing-Skjern";Krondyr;Kronhind;2+ år;Hun;1;18;40;34;43
2014/2015;"Ringkøbing-Skjern";Krondyr;Kronhind;1 år;Hun;0;8;14;4;11
2014/2015;"Ringkøbing-Skjern";Krondyr;Kronhind;;Hun;0;14;18;17;14
2014/2015;"Ringkøbing-Skjern";Krondyr;Kalv;Under 1 år;Han;5;2;11;12;9
2014/2015;"Ringkøbing-Skjern";Krondyr;Kalv;Under 1 år;Hun;4;8;13;10;23
2014/2015;"Ringkøbing-Skjern";Krondyr;Kalv;Under 1 år;;3;16;18;15;11
