Sæson;Kommune;Art;Type;Alder;Køn;Juni;Juli;August;September;Oktober;November;December;Januar
2012/2013;"Slagelse";Ræv;Han;Over 1 år;Han;0;1;0;6;7;7;17;17
2012/2013;"Slagelse";Ræv;Han;;Han;0;0;1;0;0;0;0;0
2012/2013;"Slagelse";Ræv;Tæve;Over 1 år;Hun;0;0;1;2;5;0;8;21
2012/2013;"Slagelse";Ræv;Hvalp;Under 1 år;Han;0;1;0;1;0;0;0;0
2012/2013;"Slagelse";Ræv;Hvalp;Under 1 år;Hun;0;1;1;0;0;0;0;0
2012/2013;"Slagelse";Ræv;Hvalp;Under 1 år;;9;1;6;1;2;0;0;0
