Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2020/2021;"Kolding";Dådyr;Dåhjort;2+ år;Han;0;0;2;16;1
2020/2021;"Kolding";Dådyr;Dåhjort;1 år;Han;0;1;4;5;3
2020/2021;"Kolding";Dådyr;Dåhjort;;Han;0;0;0;3;0
2020/2021;"Kolding";Dådyr;Då;2+ år;Hun;0;1;8;9;6
2020/2021;"Kolding";Dådyr;Då;1 år;Hun;0;0;0;1;2
2020/2021;"Kolding";Dådyr;Då;;Hun;0;0;4;5;7
2020/2021;"Kolding";Dådyr;Kalv;Under 1 år;Han;0;1;3;7;5
2020/2021;"Kolding";Dådyr;Kalv;Under 1 år;Hun;1;1;9;5;11
2020/2021;"Kolding";Dådyr;Kalv;Under 1 år;;0;0;0;2;1
