Sæson;Kommune;Art;Type;Alder;Køn;Maj;Juni;Juli;Oktober;November;December;Januar
2021/2022;"Esbjerg";Rådyr;Råbuk;2+ år;Han;76;21;9;0;5;1;1
2021/2022;"Esbjerg";Rådyr;Råbuk;1 år;Han;21;5;3;1;5;2;1
2021/2022;"Esbjerg";Rådyr;Råbuk;;Han;57;10;4;4;0;1;1
2021/2022;"Esbjerg";Rådyr;Rå;2+ år;Hun;0;0;0;7;5;8;9
2021/2022;"Esbjerg";Rådyr;Rå;1 år;Hun;0;0;0;5;4;2;0
2021/2022;"Esbjerg";Rådyr;Rå;;Hun;0;0;0;2;10;11;11
2021/2022;"Esbjerg";Rådyr;Lam;Under 1 år;Han;0;0;0;4;8;2;4
2021/2022;"Esbjerg";Rådyr;Lam;Under 1 år;Hun;0;0;0;11;16;14;8
2021/2022;"Esbjerg";Rådyr;Lam;Under 1 år;;0;0;0;1;3;5;0
