Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2014/2015;"Odder";Krondyr;Kronhjort;2+ år;Han;1;0;0;1;0
2014/2015;"Odder";Krondyr;Kronhjort;;Han;0;1;0;0;0
2014/2015;"Odder";Krondyr;Kronhind;2+ år;Hun;0;0;1;0;0
2014/2015;"Odder";Krondyr;Kronhind;;Hun;0;0;0;0;1
