Sæson;Kommune;Art;Type;Alder;Køn;Maj;Juni;Juli;Oktober;November;December;Januar
2013/2014;"Fredericia";Rådyr;Råbuk;2+ år;Han;25;12;5;1;1;0;0
2013/2014;"Fredericia";Rådyr;Råbuk;1 år;Han;7;5;2;1;2;0;0
2013/2014;"Fredericia";Rådyr;Råbuk;;Han;6;9;0;0;1;3;0
2013/2014;"Fredericia";Rådyr;Rå;2+ år;Hun;0;0;0;1;7;1;4
2013/2014;"Fredericia";Rådyr;Rå;1 år;Hun;0;0;0;1;0;0;3
2013/2014;"Fredericia";Rådyr;Rå;;Hun;0;0;0;0;6;1;1
2013/2014;"Fredericia";Rådyr;Lam;Under 1 år;Han;0;0;0;4;5;2;3
2013/2014;"Fredericia";Rådyr;Lam;Under 1 år;Hun;0;0;0;4;5;1;6
2013/2014;"Fredericia";Rådyr;Lam;Under 1 år;;0;0;0;5;6;2;0
