Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2019/2020;"Gribskov";Sika;Sikahjort;;Han;0;1;0;1;0
2019/2020;"Gribskov";Sika;Kalv;Under 1 år;Hun;0;0;1;0;0
2019/2020;"Gribskov";Sika;Kalv;Under 1 år;;0;0;0;1;0
