Sæson;Kommune;Art;Type;Alder;Køn;Maj;Juni;Juli;Oktober;November;December;Januar
2016/2017;"Frederiksberg";Rådyr;Råbuk;2+ år;Han;2;0;0;0;0;0;0
2016/2017;"Frederiksberg";Rådyr;Råbuk;;Han;0;1;0;0;0;0;0
2016/2017;"Frederiksberg";Rådyr;Rå;2+ år;Hun;0;0;0;1;1;0;0
2016/2017;"Frederiksberg";Rådyr;Lam;Under 1 år;Hun;0;0;0;0;1;1;0
