Sæson;Kommune;Art;Type;Alder;Køn;Maj;Juni;Juli;Oktober;November;December;Januar
2019/2020;"Favrskov";Rådyr;Råbuk;2+ år;Han;87;25;27;8;4;3;2
2019/2020;"Favrskov";Rådyr;Råbuk;1 år;Han;16;7;3;7;4;3;3
2019/2020;"Favrskov";Rådyr;Råbuk;;Han;96;36;13;11;4;3;4
2019/2020;"Favrskov";Rådyr;Rå;2+ år;Hun;0;0;0;17;21;15;16
2019/2020;"Favrskov";Rådyr;Rå;1 år;Hun;0;0;0;4;8;6;3
2019/2020;"Favrskov";Rådyr;Rå;;Hun;0;0;0;22;25;26;12
2019/2020;"Favrskov";Rådyr;Lam;Under 1 år;Han;0;0;0;17;10;7;8
2019/2020;"Favrskov";Rådyr;Lam;Under 1 år;Hun;0;1;0;17;15;10;12
2019/2020;"Favrskov";Rådyr;Lam;Under 1 år;;1;0;0;20;23;17;7
2019/2020;"Favrskov";Rådyr;Ikke angivet;;Han;1;0;0;0;0;0;0
