Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2014/2015;"Holstebro";Vildsvin;Orne;Over 1 år;Han;1;0;1;0;1
2014/2015;"Holstebro";Vildsvin;So;Over 1 år;Hun;0;1;0;1;0
2014/2015;"Holstebro";Vildsvin;Gris;Under 1 år;Han;0;0;0;0;1
2014/2015;"Holstebro";Vildsvin;Gris;Under 1 år;Hun;0;0;0;1;1
2014/2015;"Holstebro";Vildsvin;Gris;Under 1 år;;0;1;0;0;0
