Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2020/2021;"Favrskov";Vildsvin;Orne;Over 1 år;Han;0;4;6;1;2
2020/2021;"Favrskov";Vildsvin;So;Over 1 år;Hun;0;1;0;2;0
2020/2021;"Favrskov";Vildsvin;Gris;Under 1 år;Han;0;2;3;1;1
2020/2021;"Favrskov";Vildsvin;Gris;Under 1 år;Hun;0;3;2;0;1
2020/2021;"Favrskov";Vildsvin;Gris;Under 1 år;;0;0;1;9;7
